Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,13,0,3000.0,3047.5803406155205,2721.7443629997433,3669.1880889993627,609.7692307692307,0.29812443120874665,0.0,3000,3200,3200,3200,3300,3700,3700,3700,3700,3700,3700
,Aggregated,13,0,3000.0,3047.5803406155205,2721.7443629997433,3669.1880889993627,609.7692307692307,0.29812443120874665,0.0,3000,3200,3200,3200,3300,3700,3700,3700,3700,3700,3700
