Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,929,0,600.0,622.878427338051,54.02358900028048,1786.576520997187,652.9720129171152,21.03956146618337,0.0,600,750,850,920,1000,1100,1200,1300,1800,1800,1800
,Aggregated,929,0,600.0,622.878427338051,54.02358900028048,1786.576520997187,652.9720129171152,21.03956146618337,0.0,600,750,850,920,1000,1100,1200,1300,1800,1800,1800
