Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,921,0,450.0,627.4293512073748,45.171372999902815,1830.4089459998067,638.9174809989142,20.839432166775534,0.0,450,830,1000,1100,1300,1400,1500,1600,1800,1800,1800
,Aggregated,921,0,450.0,627.4293512073748,45.171372999902815,1830.4089459998067,638.9174809989142,20.839432166775534,0.0,450,830,1000,1100,1300,1400,1500,1600,1800,1800,1800
