Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,126,0,53,55.38635956347409,44.42561099858722,101.37313599989284,639.5079365079365,2.87722645986267,0.0,54,58,61,61,66,70,74,78,100,100,100
,Aggregated,126,0,53,55.38635956347409,44.42561099858722,101.37313599989284,639.5079365079365,2.87722645986267,0.0,54,58,61,61,66,70,74,78,100,100,100
